# L6 중학 3학년
admire	동	감탄하다	I admire her courage.	나는 그녀의 용기에 감탄해요.
admit	동	인정하다	He admitted his mistake.	그는 자신의 실수를 인정했어요.
adopt	동	입양하다	They adopted a puppy.	그들은 강아지를 입양했어요.
advertise	동	광고하다	They advertise on social media.	그들은 소셜 미디어에 광고해요.
afford	동	여유가 되다	We can't afford a new car.	우리는 새 차를 살 여유가 없어요.
announce	동	발표하다	The school announced the winners.	학교가 수상자를 발표했어요.
apologize	동	사과하다	I apologized for being late.	늦어서 사과했어요.
apply	동	지원하다	She applied for the science club.	그녀는 과학 동아리에 지원했어요.
appreciate	동	감사하다	I appreciate your help.	도움에 감사드려요.
approach	동	다가가다	Winter is approaching.	겨울이 다가오고 있어요.
attract	동	끌어들이다	The show attracts many tourists.	그 공연은 많은 관광객을 끌어들여요.
beg	동	간청하다	The dog begged for food.	개가 먹이를 달라고 졸랐어요.
blame	동	탓하다	Don't blame others.	남을 탓하지 마세요.
breathe	동	숨 쉬다	Breathe deeply and relax.	깊게 숨 쉬고 긴장을 푸세요.
calculate	동	계산하다	Calculate the total price.	총 가격을 계산하세요.
cancel	동	취소하다	The picnic was canceled.	소풍이 취소됐어요.
chase	동	뒤쫓다	The cat chased the mouse.	고양이가 쥐를 뒤쫓았어요.
cheer	동	응원하다	We cheered for our team.	우리는 우리 팀을 응원했어요.
confuse	동	혼란스럽게 하다	The map confused me.	지도가 나를 혼란스럽게 했어요.
connect	동	연결하다	Connect the printer to the computer.	프린터를 컴퓨터에 연결하세요.
consist	동	구성되다	The team consists of five members.	그 팀은 다섯 명으로 구성돼요.
convince	동	설득하다	I convinced him to join us.	나는 그가 우리와 함께하도록 설득했어요.
criticize	동	비판하다	Don't criticize without reason.	이유 없이 비판하지 마세요.
declare	동	선언하다	They declared the game over.	그들은 경기 종료를 선언했어요.
defend	동	방어하다	The goalkeeper defended well.	골키퍼가 잘 방어했어요.
demand	동	요구하다	They demanded an answer.	그들은 답을 요구했어요.
deny	동	부인하다	He denied the rumor.	그는 소문을 부인했어요.
deserve	동	받을 자격이 있다	You deserve the prize.	너는 상을 받을 자격이 있어.
destroy	동	파괴하다	The flood destroyed the bridge.	홍수가 다리를 파괴했어요.
determine	동	결심하다	She determined to study abroad.	그녀는 유학을 결심했어요.
disappoint	동	실망시키다	I don't want to disappoint you.	너를 실망시키고 싶지 않아.
earn	동	벌다	He earns money by tutoring.	그는 과외로 돈을 벌어요.
escape	동	탈출하다	The bird escaped from the cage.	새가 새장에서 탈출했어요.
establish	동	설립하다	The school was established in 1950.	그 학교는 1950년에 설립됐어요.
examine	동	검사하다	The doctor examined my eyes.	의사가 내 눈을 검사했어요.
exist	동	존재하다	Do aliens really exist?	외계인이 정말 존재할까요?
experiment	명	실험	We did a science experiment.	우리는 과학 실험을 했어요.
explore	동	탐험하다	They explored the deep sea.	그들은 심해를 탐험했어요.
forgive	동	용서하다	Please forgive my mistake.	제 실수를 용서해 주세요.
found	동	설립하다	He founded a small company.	그는 작은 회사를 설립했어요.
frighten	동	겁먹게 하다	The thunder frightened the dog.	천둥이 개를 겁먹게 했어요.
fulfill	동	이행하다	She fulfilled her promise.	그녀는 약속을 이행했어요.
gain	동	얻다	No pain, no gain.	고통 없이는 얻는 것도 없어요.
hesitate	동	망설이다	Don't hesitate to ask.	주저하지 말고 물어보세요.
identify	동	식별하다	Can you identify this plant?	이 식물을 알아볼 수 있나요?
ignore	동	무시하다	Never ignore safety warnings.	안전 경고를 절대 무시하지 마세요.
impress	동	감동시키다	Her speech impressed everyone.	그녀의 연설은 모두를 감동시켰어요.
inform	동	알리다	Please inform us of any changes.	변경 사항이 있으면 알려 주세요.
injure	동	다치게 하다	He injured his knee.	그는 무릎을 다쳤어요.
insist	동	고집하다	She insisted on paying.	그녀는 자기가 내겠다고 고집했어요.
inspire	동	영감을 주다	The book inspired me.	그 책은 나에게 영감을 줬어요.
intend	동	의도하다	I didn't intend to hurt you.	너를 아프게 할 의도는 아니었어.
interrupt	동	방해하다	Don't interrupt the speaker.	발표자를 방해하지 마세요.
invest	동	투자하다	Invest time in your health.	건강에 시간을 투자하세요.
involve	동	포함시키다	The project involves teamwork.	그 프로젝트는 팀워크를 필요로 해요.
judge	동	판단하다	Don't judge a book by its cover.	겉모습으로 판단하지 마세요.
lay	동	놓다	Lay the baby on the bed.	아기를 침대에 눕히세요.
lead	동	이끌다	She leads the dance team.	그녀는 댄스팀을 이끌어요.
locate	동	위치를 찾다	The map helps us locate the store.	지도가 가게 위치를 찾게 도와줘요.
maintain	동	유지하다	Maintain a healthy diet.	건강한 식단을 유지하세요.
measure	동	측정하다	Measure the length of the desk.	책상의 길이를 재 보세요.
melt	동	녹다	The ice melted quickly.	얼음이 빨리 녹았어요.
observe	동	관찰하다	We observed the moon last night.	우리는 어젯밤 달을 관찰했어요.
obtain	동	얻다	He obtained a driver's license.	그는 운전면허를 취득했어요.
occur	동	발생하다	The accident occurred at noon.	사고는 정오에 발생했어요.
operate	동	작동하다	This machine operates all night.	이 기계는 밤새 작동해요.
oppose	동	반대하다	Many people opposed the plan.	많은 사람들이 그 계획에 반대했어요.
overcome	동	극복하다	She overcame her fear.	그녀는 두려움을 극복했어요.
participate	동	참가하다	Everyone participated in the game.	모두가 게임에 참가했어요.
perform	동	공연하다	The band performed on stage.	밴드가 무대에서 공연했어요.
persuade	동	설득하다	I persuaded mom to get a cat.	나는 고양이를 키우자고 엄마를 설득했어요.
predict	동	예측하다	Nobody can predict the future.	아무도 미래를 예측할 수 없어요.
pretend	동	~인 척하다	He pretended to be asleep.	그는 자는 척했어요.
promote	동	홍보하다	They promoted the new movie.	그들은 새 영화를 홍보했어요.
prove	동	증명하다	The result proved her theory.	결과가 그녀의 이론을 증명했어요.
publish	동	출판하다	The writer published a new novel.	그 작가는 새 소설을 출판했어요.
punish	동	처벌하다	The referee punished the foul.	심판이 반칙을 처벌했어요.
pursue	동	추구하다	Pursue your dream bravely.	용감하게 꿈을 추구하세요.
recognize	동	알아보다	I didn't recognize you at first.	처음에 너를 못 알아봤어.
recover	동	회복하다	He recovered from the flu.	그는 독감에서 회복했어요.
regret	동	후회하다	You won't regret this choice.	이 선택을 후회하지 않을 거예요.
relax	동	긴장을 풀다	Relax and enjoy the music.	긴장을 풀고 음악을 즐기세요.
release	동	풀어주다	They released the bird.	그들은 새를 풀어줬어요.
rely	동	의지하다	You can rely on me.	나를 믿어도 돼.
represent	동	대표하다	She represents our school.	그녀는 우리 학교를 대표해요.
rescue	동	구조하다	Firefighters rescued the cat.	소방관들이 고양이를 구조했어요.
resist	동	저항하다	I couldn't resist the dessert.	나는 디저트를 참을 수 없었어요.
respond	동	응답하다	Respond to the invitation soon.	초대에 빨리 응답하세요.
satisfy	동	만족시키다	The result satisfied everyone.	결과는 모두를 만족시켰어요.
scold	동	꾸짖다	Mom scolded me for lying.	엄마가 거짓말했다고 나를 꾸짖었어요.
seek	동	찾다	Seek help when you need it.	필요할 때 도움을 구하세요.
select	동	선택하다	Select the correct answer.	올바른 답을 고르세요.
separate	동	분리하다	Separate the trash properly.	쓰레기를 제대로 분리하세요.
settle	동	정착하다	They settled in a small village.	그들은 작은 마을에 정착했어요.
sink	동	가라앉다	The boat began to sink.	배가 가라앉기 시작했어요.
spread	동	퍼지다	The news spread quickly.	소식이 빠르게 퍼졌어요.
struggle	동	분투하다	He struggled with the math problem.	그는 수학 문제와 씨름했어요.
succeed	동	성공하다	Try again and you will succeed.	다시 시도하면 성공할 거예요.
suppose	동	가정하다	I suppose you are right.	네 말이 맞는 것 같아.
tend	동	~하는 경향이 있다	I tend to sleep late.	나는 늦게 자는 경향이 있어요.
threaten	동	위협하다	The storm threatened the village.	폭풍이 마을을 위협했어요.
treat	동	대하다	Treat others with respect.	다른 사람을 존중으로 대하세요.
trust	동	신뢰하다	I trust your judgment.	나는 네 판단을 신뢰해.
warn	동	경고하다	The sign warns of danger.	그 표지판은 위험을 경고해요.
wonder	동	궁금하다	I wonder what happened.	무슨 일이 있었는지 궁금해요.
atmosphere	명	대기	The atmosphere protects the earth.	대기는 지구를 보호해요.
attitude	명	태도	A positive attitude helps a lot.	긍정적인 태도는 큰 도움이 돼요.
benefit	명	이익	Exercise has many benefits.	운동은 많은 이점이 있어요.
challenge	명	도전	I like a new challenge.	나는 새로운 도전을 좋아해요.
character	명	성격	She has a bright character.	그녀는 밝은 성격이에요.
climate	명	기후	The climate is changing fast.	기후가 빠르게 변하고 있어요.
conclusion	명	결론	We reached a conclusion.	우리는 결론에 도달했어요.
detail	명	세부 사항	Check the details carefully.	세부 사항을 꼼꼼히 확인하세요.
disaster	명	재난	The flood was a terrible disaster.	그 홍수는 끔찍한 재난이었어요.
effect	명	효과	The medicine had a quick effect.	그 약은 효과가 빨랐어요.
evidence	명	증거	The police found new evidence.	경찰이 새 증거를 찾았어요.
influence	명	영향	Friends have a big influence on us.	친구는 우리에게 큰 영향을 줘요.
instance	명	사례	For instance, take this case.	예를 들어 이 경우를 보세요.
issue	명	쟁점	It became a hot issue.	그것은 뜨거운 쟁점이 되었어요.
option	명	선택지	You have two options.	너에게는 두 가지 선택지가 있어.
