# L4 중학 1학년
information	명	정보	I found useful information online.	나는 온라인에서 유용한 정보를 찾았어요.
experience	명	경험	Camping was a great experience.	캠핑은 멋진 경험이었어요.
culture	명	문화	Every country has its own culture.	모든 나라는 고유한 문화가 있어요.
language	명	언어	English is a world language.	영어는 세계적인 언어예요.
foreigner	명	외국인	A foreigner asked me the way.	외국인이 나에게 길을 물었어요.
neighbor	명	이웃	My neighbor waters the flowers.	이웃이 꽃에 물을 줘요.
teenager	명	십 대	Teenagers need enough sleep.	십 대는 충분한 잠이 필요해요.
adult	명	어른	Ask an adult for help.	어른에게 도움을 요청하세요.
child	명	어린이	Every child likes stories.	모든 어린이는 이야기를 좋아해요.
memory	명	기억	I have a good memory of that day.	나는 그날의 좋은 기억이 있어요.
moment	명	순간	Wait a moment, please.	잠시만 기다려 주세요.
reason	명	이유	Tell me the reason.	이유를 말해 주세요.
result	명	결과	The test result comes out tomorrow.	시험 결과는 내일 나와요.
effort	명	노력	Your effort will pay off.	너의 노력은 보상받을 거야.
chance	명	기회	Give me one more chance.	한 번만 더 기회를 주세요.
choice	명	선택	It was a hard choice.	그것은 어려운 선택이었어요.
advice	명	조언	Thanks for your advice.	조언 고마워요.
promise	명	약속	Keep your promise.	약속을 지키세요.
secret	명	비밀	Can you keep a secret?	비밀을 지킬 수 있어요?
mistake	명	실수	Don't be afraid of mistakes.	실수를 두려워하지 마세요.
trouble	명	곤란	He is in big trouble.	그는 큰 곤경에 처했어요.
war	명	전쟁	War destroys everything.	전쟁은 모든 것을 파괴해요.
peace	명	평화	We all want peace.	우리 모두는 평화를 원해요.
nature	명	자연	We should protect nature.	우리는 자연을 보호해야 해요.
environment	명	환경	Save the environment.	환경을 지켜요.
earth	명	지구	The earth goes around the sun.	지구는 태양 주위를 돌아요.
space	명	우주	I dream of traveling to space.	나는 우주여행을 꿈꿔요.
planet	명	행성	Mars is a red planet.	화성은 붉은 행성이에요.
island	명	섬	Jeju is a beautiful island.	제주는 아름다운 섬이에요.
forest	명	숲	The forest is full of life.	숲은 생명으로 가득해요.
desert	명	사막	It rarely rains in the desert.	사막에는 비가 거의 오지 않아요.
weather	명	기상	The weather changed suddenly.	날씨가 갑자기 바뀌었어요.
temperature	명	온도	The temperature dropped last night.	어젯밤 온도가 떨어졌어요.
accident	명	사고	There was a car accident.	자동차 사고가 있었어요.
fire	명	화재	The fire started in the kitchen.	불은 부엌에서 시작됐어요.
safety	명	안전	Safety comes first.	안전이 최우선이에요.
rule	명	규칙	Follow the school rules.	학교 규칙을 지키세요.
law	명	법	Everyone must follow the law.	모두가 법을 지켜야 해요.
prize	명	상	She won first prize.	그녀는 일등 상을 받았어요.
contest	명	대회	I joined a singing contest.	나는 노래 대회에 참가했어요.
club	명	동아리	I'm in the book club.	나는 독서 동아리에 있어요.
member	명	회원	Our club has ten members.	우리 동아리는 회원이 열 명이에요.
leader	명	지도자	A good leader listens well.	좋은 지도자는 잘 들어요.
hero	명	영웅	The firefighter became a hero.	그 소방관은 영웅이 되었어요.
neighbor	명	이웃 사람	Be kind to your neighbors.	이웃에게 친절하세요.
